27.5,-19.4251,-66.7766,8.26695,-1.31681,0.874129,1.00165,1.48528,0.097875,0.00225
28,-15.1824,-67.3098,8.70402,-0.815989,0.683206,1.00965,1.5345,0.099,0.0022
28.5,-10.7449,-67.5916,9.04562,-0.311165,0.483522,1.01387,1.58427,0.1001,0.00215
29,-6.16169,-67.6205,9.28738,0.195772,0.277276,1.01431,1.63459,0.101175,0.0021
29.5,-1.48334,-67.3958,9.42602,0.702926,0.0667505,1.01094,1.68544,0.102225,0.00205
30,3.23801,-66.918,9.45939,1.20839,-0.14571,1.00377,1.73681,0.10325,0.002
30.5,7.94949,-66.1883,9.38654,1.71028,-0.357727,0.992825,1.78869,0.10425,0.00195
31,12.598,-65.2091,9.20767,2.20669,-0.566912,0.978136,1.84106,0.105225,0.0019
31.5,17.131,-63.9835,8.92422,2.69576,-0.770896,0.959752,1.89391,0.106175,0.00185
32,21.4968,-62.5156,8.53877,3.17564,-0.967355,0.937734,1.94722,0.1071,0.0018
32.5,25.6452,-60.8106,8.05509,3.6445,-1.15404,0.912159,2.001,0.108,0.00175
33,29.5285,-58.8743,7.47808,4.10058,-1.32878,0.883115,2.05522,0.108875,0.0017
33.5,33.1015,-56.7136,6.81368,4.54214,-1.48957,0.850704,2.10987,0.109725,0.00165
34,36.3221,-54.3362,6.0689,4.96749,-1.63449,0.815043,2.16494,0.11055,0.0016
34.5,39.1522,-51.7506,5.25165,5.37501,-1.76185,0.776259,2.22041,0.11135,0.00155
35,41.5578,-48.9661,4.37073,5.76314,-1.8701,0.734491,2.27628,0.112125,0.0015
35.5,43.5094,-45.9927,3.43568,6.13039,-1.95792,0.68989,2.33253,0.112875,0.00145
36,44.9825,-42.8412,2.45672,6.47533,-2.02421,0.642619,2.38915,0.1136,0.0014
36.5,45.9579,-39.5233,1.44461,6.79664,-2.0681,0.592849,2.44612,0.1143,0.00135
37,46.4217,-36.0508,0.410556,7.09307,-2.08897,0.540762,2.50344,0.114975,0.0013
37.5,46.3658,-32.4367,-0.633932,7.36345,-2.08646,0.48655,2.56109,0.115625,0.00125
38,45.788,-28.6942,-1.67716,7.60672,-2.06046,0.430412,2.61906,0.11625,0.0012
38.5,44.6919,-24.837,-2.70739,7.82193,-2.01114,0.372555,2.67734,0.11685,0.00115
39,43.0868,-20.8795,-3.71296,8.00821,-1.93891,0.313192,2.73591,0.117425,0.0011
39.5,40.988,-16.8362,-4.68242,8.1648,-1.84446,0.252543,2.79476,0.117975,0.00105
40,38.4162,-12.7222,-5.60464,8.29108,-1.72873,0.190833,2.85387,0.1185,0.001
40.5,35.3978,-8.55284,-6.46901,8.38649,-1.5929,0.128293,2.91325,0.119,0.00095
41,31.9642,-4.34356,-7.26546,8.45064,-1.43839,0.0651533,2.97287,0.119475,0.0009
41.5,28.1517,-0.110092,-7.98465,8.48322,-1.26682,0.00165138,3.03272,0.119925,0.00085
42,24.001,4.13172,-8.61807,8.48404,-1.08004,-0.0619758,3.09279,0.12035,0.0008
42.5,19.5569,8.366,-9.15809,8.45305,-0.880062,-0.12549,3.15306,0.12075,0.00075
43,14.8679,12.5768,-9.59812,8.39031,-0.669055,-0.188653,3.21353,0.121125,0.0007
43.5,9.98519,16.7484,-9.93265,8.29598,-0.449334,-0.251226,3.27418,0.121475,0.00065
44,4.9627,20.865,-10.1573,8.17037,-0.223321,-0.312975,3.335,0.1218,0.0006
44.5,-0.143871,24.9111,-10.269,8.01388,0.00647422,-0.373666,3.39597,0.1221,0.00055
45,-5.27755,28.8713,-10.2657,7.82705,0.23749,-0.433069,3.45709,0.122375,0.0005
45.5,-10.3807,32.7307,-10.147,7.61051,0.467133,-0.49096,3.51834,0.122625,0.00045
46,-15.3958,36.4746,-9.91343,7.36503,0.692813,-0.547119,3.57971,0.12285,0.0004
46.5,-20.2659,40.0887,-9.56702,7.09148,0.911968,-0.60133,3.64119,0.12305,0.00035
47,-24.9355,43.5593,-9.11104,6.79081,1.1221,-0.653389,3.70276,0.123225,0.0003
47.5,-29.3507,46.873,-8.54999,6.46412,1.32078,-0.703095,3.76441,0.123375,0.00025
48,-33.4606,50.0172,-7.8896,6.11257,1.50573,-0.750258,3.82612,0.1235,0.0002
48.5,-37.2172,52.9797,-7.13673,5.73744,1.67477,-0.794695,3.8879,0.1236,0.00015
49,-40.5762,55.7491,-6.29935,5.34009,1.82593,-0.836236,3.94972,0.123675,0.0001
49.5,-43.4976,58.3146,-5.38638,4.92197,1.95739,-0.874719,4.01157,0.123725,5e-05
50,-45.9462,60.6662,-4.40768,4.48461,2.06758,-0.909993,4.07344,0.12375,0
50.5,-47.8916,62.7948,-3.3739,4.02962,2.15512,-0.941922,4.13531,0.12375,-5e-05
51,-49.3091,64.6918,-2.29634,3.55866,2.21891,-0.970378,4.19718,0.123725,-0.0001
51.5,-50.1799,66.3499,-1.18688,3.07347,2.2581,-0.995248,4.25903,0.123675,-0.00015
52,-50.4911,67.7622,-0.0578324,2.57584,2.2721,-1.01643,4.32085,0.1236,-0.0002
52.5,-50.236,68.9231,1.07822,2.06763,2.26062,-1.03385,4.38263,0.1235,-0.00025
53,-49.4143,69.8277,2.20853,1.5507,2.22364,-1.04741,4.44434,0.123375,-0.0003
53.5,-48.0321,70.4721,3.32035,1.027,2.16144,-1.05708,4.50599,0.123225,-0.00035
54,-46.1017,70.8534,4.40107,0.498456,2.07458,-1.0628,4.56756,0.12305,-0.0004
54.5,-43.6419,70.9698,5.43836,-0.0329444,1.96389,-1.06455,4.62904,0.12285,-0.00045
55,-40.6772,70.8203,6.4203,-0.565218,1.83047,-1.0623,4.69041,0.122625,-0.0005
55.5,-37.2383,70.4049,7.33554,-1.09637,1.67572,-1.05607,4.75166,0.122375,-0.00055
56,-33.361,69.7247,8.1734,-1.62441,1.50125,-1.04587,4.81277,0.1221,-0.0006
56.5,-29.0867,68.7817,8.92402,-2.14734,1.3089,-1.03173,4.87375,0.1218,-0.00065
57,-24.461,67.5791,9.57847,-2.6632,1.10075,-1.01369,4.93457,0.121475,-0.0007
57.5,-19.5342,66.1208,10.1288,-3.17005,0.879039,-0.991812,4.99522,0.121125,-0.00075
58,-14.3599,64.4118,10.5684,-3.66595,0.646196,-0.966177,5.05569,0.12075,-0.0008
58.5,-8.99495,62.458,10.8915,-4.14904,0.404773,-0.936871,5.11596,0.12035,-0.00085
59,-3.49862,60.2664,11.0939,-4.61748,0.157438,-0.903996,5.17603,0.119925,-0.0009
